"query id","query acc.ver","subject acc.ver","% identity","alignment length",mismatches,"gap opens","q. start","q. end","s. start","s. end",evalue,"bit score","subject ids",GI
Contig_17280,Contig_17280,KX121618.1,100,477,0,0,1,477,367,843,0,861,gi|1032033222|gb|KX121618.1|,1032033222
Contig_17280,Contig_17280,5FLX_1,100,477,0,0,1,477,1737,1261,0,861,gi|969813047|pdb|5FLX|1,969813047
Contig_17280,Contig_17280,5A2Q_2,100,477,0,0,1,477,1737,1261,0,861,gi|887492877|pdb|5A2Q|2,887492877
Contig_17280,Contig_17280,4CXC_1,100,477,0,0,1,477,1737,1261,0,861,gi|665764225|pdb|4CXC|1,665764225
Contig_17280,Contig_17280,4CXC_1,100,477,0,0,1,477,1737,1261,0,861,gi|753536039|pdb|4D5L|1,753536039
Contig_17280,Contig_17280,4CXC_1,100,477,0,0,1,477,1737,1261,0,861,gi|764090858|pdb|4D61|1,764090858
Contig_17280,Contig_17280,4W23_2,100,477,0,0,1,477,1610,1134,0,861,gi|675970227|pdb|4W23|2,675970227
Contig_17280,Contig_17280,4W23_2,100,477,0,0,1,477,1610,1134,0,861,gi|675970373|pdb|4W28|2,675970373
Contig_17280,Contig_17280,KF732650.1,100,477,0,0,1,477,684,208,0,861,gi|570362313|gb|KF732650.1|,570362313
Contig_17280,Contig_17280,KF384520.1,100,477,0,0,1,477,1713,1237,0,861,gi|525469989|gb|KF384520.1|,525469989
Contig_17280,Contig_17280,JF894380.1,100,477,0,0,1,477,1737,1261,0,861,gi|334360161|gb|JF894380.1|,334360161
Contig_17280,Contig_17280,JQ247698.1,100,477,0,0,1,477,1739,1263,0,861,gi|380750581|gb|JQ247698.1|,380750581
Contig_17280,Contig_17280,NR_046261.1,100,477,0,0,1,477,2065,1589,0,861,gi|374532828|ref|NR_046261.1|,374532828
Contig_17280,Contig_17280,NR_046235.1,100,477,0,0,1,477,5391,4915,0,861,gi|374429547|ref|NR_046235.1|,374429547
Contig_17280,Contig_17280,AK400360.1,100,477,0,0,1,477,850,374,0,861,gi|371911277|dbj|AK400360.1|,371911277
Contig_17280,Contig_17280,JN163869.1,100,477,0,0,1,477,1722,1246,0,861,gi|356582733|gb|JN163869.1|,356582733
Contig_17280,Contig_17280,NR_045132.1,100,477,0,0,1,477,1745,1269,0,861,gi|346716260|ref|NR_045132.1|,346716260
Contig_17280,Contig_17280,JN412502.1,100,477,0,0,1,477,1737,1261,0,861,gi|343965963|gb|JN412502.1|,343965963
Contig_17280,Contig_17280,GU372691.1,100,477,0,0,1,477,8749,8273,0,861,gi|307829144|gb|GU372691.1|,307829144
Contig_17280,Contig_17280,AC231275.2,100,477,0,0,1,477,32379,31903,0,861,gi|297747482|gb|AC231275.2|,297747482
Contig_17280,Contig_17280,FP236383.15,100,477,0,0,1,477,83431,82955,0,861,gi|296434039|emb|FP236383.15|,296434039
Contig_17280,Contig_17280,FP236383.15,100,477,0,0,1,477,127641,127165,0,861,gi|296434039|emb|FP236383.15|,296434039
Contig_17280,Contig_17280,AK348805.1,100,477,0,0,1,477,675,199,0,861,gi|288778980|dbj|AK348805.1|,288778980
Contig_17280,Contig_17280,FN435990.1,100,477,0,0,1,477,508,32,0,861,gi|256016849|emb|FN435990.1|,256016849
Contig_17280,Contig_17280,NR_003286.2,100,477,0,0,1,477,1737,1261,0,861,gi|225637497|ref|NR_003286.2|,225637497
Contig_17280,Contig_17280,EU823286.1,100,477,0,0,1,477,1734,1258,0,861,gi|194307128|gb|EU823286.1|,194307128
Contig_17280,Contig_17280,EU338391.1,100,477,0,0,1,477,492,16,0,861,gi|164504485|gb|EU338391.1|,164504485
Contig_17280,Contig_17280,EU282235.1,100,477,0,0,1,477,500,24,0,861,gi|161075477|gb|EU282235.1|,161075477
Contig_17280,Contig_17280,EU253953.1,100,477,0,0,1,477,506,30,0,861,gi|160966321|gb|EU253953.1|,160966321
Contig_17280,Contig_17280,EU253950.1,100,477,0,0,1,477,506,30,0,861,gi|160966318|gb|EU253950.1|,160966318
Contig_17280,Contig_17280,EU253947.1,100,477,0,0,1,477,506,30,0,861,gi|160966315|gb|EU253947.1|,160966315
Contig_17280,Contig_17280,EU253945.1,100,477,0,0,1,477,506,30,0,861,gi|160966313|gb|EU253945.1|,160966313
Contig_17280,Contig_17280,EU253944.1,100,477,0,0,1,477,506,30,0,861,gi|160966312|gb|EU253944.1|,160966312
Contig_17280,Contig_17280,EU234452.1,100,477,0,0,1,477,506,30,0,861,gi|159145045|gb|EU234452.1|,159145045
Contig_17280,Contig_17280,CT476837.18,100,477,0,0,1,477,99441,98965,0,861,gi|157677450|emb|CT476837.18|,157677450
Contig_17280,Contig_17280,AL353644.34,100,477,0,0,1,477,127667,127191,0,861,gi|151415227|emb|AL353644.34|,151415227
Contig_17280,Contig_17280,AL353644.34,100,477,0,0,1,477,172748,172272,0,861,gi|151415227|emb|AL353644.34|,151415227
Contig_17280,Contig_17280,AB172927.1,100,477,0,0,1,477,1082,606,0,861,gi|90081017|dbj|AB172927.1|,90081017
Contig_17280,Contig_17280,AK239829.1,100,477,0,0,1,477,1749,1273,0,861,gi|115553642|dbj|AK239829.1|,115553642
Contig_17280,Contig_17280,DQ430751.1,100,477,0,0,1,477,501,25,0,861,gi|91974429|gb|DQ430751.1|,91974429
Contig_17280,Contig_17280,DQ235090.1,100,477,0,0,1,477,13367,12891,0,861,gi|78355009|gb|DQ235090.1|,78355009
Contig_17280,Contig_17280,NR_046263.1,100,477,0,0,1,477,3772,3296,0,861,gi|374532772|ref|NR_046263.1|,374532772
Contig_17280,Contig_17280,NR_046263.1,100,477,0,0,1,477,3772,3296,0,861,gi|37626311|gb|AY390526.1|,37626311
Contig_17280,Contig_17280,AY265350.1,100,477,0,0,1,477,238,714,0,861,gi|37956930|gb|AY265350.1|,37956930
Contig_17280,Contig_17280,AF159295.1,100,477,0,0,1,477,142,618,0,861,gi|5714635|gb|AF159295.1|AF159295,5714635
Contig_17280,Contig_17280,BC042411.1,100,477,0,0,1,477,806,330,0,861,gi|27469381|gb|BC042411.1|,27469381
Contig_17280,Contig_17280,AL592188.60,100,477,0,0,1,477,110814,110338,0,861,gi|86475748|emb|AL592188.60|,86475748
Contig_17280,Contig_17280,AL592188.60,100,477,0,0,1,477,154786,154310,0,861,gi|86475748|emb|AL592188.60|,86475748
Contig_17280,Contig_17280,AJ311675.1,100,477,0,0,1,477,1717,1241,0,861,gi|18369732|emb|AJ311675.1|,18369732
Contig_17280,Contig_17280,AJ311674.1,100,477,0,0,1,477,1716,1240,0,861,gi|18369731|emb|AJ311674.1|,18369731
Contig_17280,Contig_17280,NR_046271.1,100,477,0,0,1,477,1716,1240,0,861,gi|374671780|ref|NR_046271.1|,374671780
Contig_17280,Contig_17280,NR_046271.1,100,477,0,0,1,477,1716,1240,0,861,gi|18369730|emb|AJ311673.1|,18369730
Contig_17280,Contig_17280,K03432.1,100,477,0,0,1,477,1878,1402,0,861,gi|337377|gb|K03432.1|HUMRGEA,337377
Contig_17280,Contig_17280,M10098.1,100,477,0,0,1,477,1838,1362,0,861,gi|337376|gb|M10098.1|HUMRGE,337376
Contig_17280,Contig_17280,M11188.1,100,477,0,0,1,477,1749,1273,0,861,gi|206631|gb|M11188.1|RATRGEA,206631
Contig_17280,Contig_17280,X03205.1,100,477,0,0,1,477,1737,1261,0,861,gi|36162|emb|X03205.1|,36162
Contig_17280,Contig_17280,X03205.1,100,477,0,0,1,477,1737,1261,0,861,gi|672884471|pdb|4UQ4|1,672884471
Contig_17280,Contig_17280,X03205.1,100,477,0,0,1,477,1737,1261,0,861,gi|672884505|pdb|4UQ5|1,672884505
Contig_17280,Contig_17280,X03205.1,100,477,0,0,1,477,1737,1261,0,861,gi|958159612|pdb|5A8L|B,958159612
Contig_17280,Contig_17280,HG982138.1,99.79,477,1,0,1,477,1139,663,0,856,gi|644985589|tpe|HG982138.1|,644985589
Contig_17280,Contig_17280,NR_046233.2,99.79,477,1,0,1,477,5744,5268,0,856,gi|577019615|ref|NR_046233.2|,577019615
Contig_17280,Contig_17280,BK000964.3,99.79,477,1,0,1,477,5744,5268,0,856,gi|511668571|tpg|BK000964.3|,511668571
Contig_17280,Contig_17280,NG_032038.1,99.79,477,1,0,1,477,1843,1367,0,856,gi|374253766|ref|NG_032038.1|,374253766
Contig_17280,Contig_17280,NR_003278.3,99.79,477,1,0,1,477,1737,1261,0,856,gi|374088232|ref|NR_003278.3|,374088232
Contig_17280,Contig_17280,AK399122.1,100,474,0,0,1,474,474,1,0,856,gi|371917048|dbj|AK399122.1|,371917048
Contig_17280,Contig_17280,CT010467.6,99.79,477,1,0,1,477,65959,66435,0,856,gi|84365506|emb|CT010467.6|,84365506
Contig_17280,Contig_17280,X82564.1,99.79,477,1,0,1,477,11379,10903,0,856,gi|1261918|emb|X82564.1|,1261918
Contig_17280,Contig_17280,X00686.1,99.79,477,1,0,1,477,1737,1261,0,856,gi|53990|emb|X00686.1|,53990
Contig_17280,Contig_17280,3J3D_2,99.581,477,2,0,1,477,1737,1261,0,854,gi|485601472|pdb|3J3D|2,485601472
Contig_17280,Contig_17280,AY046772.1,99.791,478,0,1,1,477,1113,636,0,854,gi|18025948|gb|AY046772.1|,18025948
Contig_17280,Contig_17280,AK145507.1,99.791,478,0,1,1,477,1140,663,0,854,gi|74211473|dbj|AK145507.1|,74211473
